after,befer,score
前列腺增生,前列腺炎,75.0
肝郁气滞证,气郁不舒,25.0
气血不足证,补血,50.0
上呼吸道感染,1111111,0.0
哮喘性支气管炎,急性支气管炎、哮喘性支气管炎,53.84615384615385
脾肾虚损证,肾虚,100.0
性功能障碍,无,0.0
白细胞减少症,白细胞异常,60.0
高尿酸血症,屎酸过高,50.0
反流性食管炎,胃肠功能紊乱,0.0
高脂血症、高血压病,高脂血症、高血压病、高血压,72.72727272727273
肾精亏虚证,肾精亏虚,100.0
肾排斥反应,排斥反应,100.0
骨关节炎,原发性及继发性骨关节炎,36.36363636363637
肥胖症,减肥,50.0
骨质疏松症、心绞痛、高血压病,视神经炎,0.0
白癜风,银屑病,0.0
肺肿瘤,肿瘤,100.0
萎缩性阴道炎,更年期综合征,0.0
性功能障碍,男性勃起功能障碍、阳萎,50.0
皮肤感染,药物过敏，导致包皮龟头炎,9.090909090909092
消化不良,慢性胃炎,0.0
消化不良,慢性胃炎,0.0
消化不良,慢性胃炎,0.0
荨麻疹、过敏性鼻炎,荨麻疹、慢性鼻炎,85.71428571428571
慢性肾功能不全,肾气不足,50.0
叶酸缺乏症,叶酸片,66.66666666666666
子宫内膜异位症,月经不规则,0.0
阴道炎症，,阴道炎症，有,80.0
胃炎,胃不舒服,25.0
失眠,睡眠障碍,25.0
痔疮、脓包疮,上呼吸道感染、脓包疮,44.44444444444444
胃炎,胃不舒服,25.0
勃起功能障碍,早泄、勃起功能障碍,75.0
失眠，普通感冒,阴血不足证、普通感冒,44.44444444444444
肥,减肥,50.0
关节炎,风湿性关节炎、类风湿关节炎,25.0
失眠,脱发,0.0
中风,肾虚证,0.0
支气管炎,咳嗽病,0.0
痛经,月经期间肚子疼,14.285714285714285
皮炎、湿疹,皮炎、皮炎/湿疹/脚气,50.0
阴道炎,细菌性外阴炎,33.33333333333333
溃疡性结肠炎、,溃疡性结肠炎、腹泻,75.0
慢性前列腺炎、肾阳虚,慢性前列腺炎、勃起功能障碍、肾阳虚,60.0
痛经,月经期间肚子疼,14.285714285714285
痛经,月经期间肚子疼,14.285714285714285
肾气不足,肾虚精亏症,20.0
脑外伤,儿童智能发育迟缓,0.0
骨关节炎,全身性骨关节炎,57.14285714285714
骨关节炎,全身性骨关节炎、骨关节炎,36.36363636363637
勃起功能障碍,肾阳虚、勃起功能障碍,66.66666666666666
急性咽喉炎,声音嘶哑,0.0
高血压病,高血压病、高血压,57.14285714285714
牙周炎,牙疼,50.0
高脂血症、心绞痛、冠心病,高脂血症、胸痛、心绞痛、冠心病,83.33333333333334
冠心病、贫血,巨幼红细胞性贫血、冠心病、叶酸片,35.714285714285715
慢性鼻炎,慢性鼻炎怕风,66.66666666666666
慢性鼻炎,慢性鼻炎怕风,66.66666666666666
气管炎,咳嗽,0.0
j急性气管炎,气管炎,100.0
